Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
1,"Laiho, R. & Laine, J. ",1997,Tree stand & biomass & carbon content in an age sequence of drained pine mires in southern Finl&. ,Forest Ecology and Management ,93,1-2,161-169,
2,"Janssens, I.A., Sampson, D.A., Cermak, J., Meiresonne, L., Riguzzi, F., Overloop, S. & Ceulemans, R.",1999,Above- & belowground phytomass & carbon storage in a Belgian Scots pine st&,Annals of Forest Science,56,2,81-90,Reference book focuses on method for soil carbon
3,"Elias, M. & Potvin, C.",2003,Assessing inter- & intra-specific variation in trunk carbon concentration for 32 Neotropical tree species,Canadian Journal of Forest Research,33,6,1039-1045,
4,"Kraenzel, M., Castillo, A., Moore, T. & Potvin, C. ",2003,"Carbon storage of harvest-age teak (Tectona gr&is) plantations, Panama.",Forest Ecology and Management ,173,1-3,213-225,
5,"Lamlom, S. H. & Savidge, R.A.",2003,A reassessment of carbon content in wood: variation within & between 41 North American species,Biomass and Bioenergy,25,4,381-388,
6,"Bert, D. & Danjon, F.",2006,"Carbon concentration variations in the roots, stem & crown of mature Pinus pinaster (Ait.). ",Forest Ecology and Management,222,1-3,279-295,
7,"Thomas, S.C. & Malczewski, G.",2007,Wood carbon content of tree species in Eastern China: interspecific variability & the importance of the volatile fraction.,Journal of Environmental Management,85,3,659-662,
8,"Fang, S., Xue, J. & Tang, L.",2007,Biomass production & carbon sequestration potential in poplar plantations with different management patterns.,Journal of Environmental Management,85,3,672-679,
9,"Fukatsu, E., Fukuda, Y., Takahashi, M. & Nakada, R.",2008,Clonal variation of carbon content in wood of Larix kaempferi (Japanese larch).,Journal of Wood Science,54,3,247-251,
10,"Zheng, H., Ouyang, Z.Y., Xu, W.H., Wang, X.K., Miao, H., Li, X.Q. & Tian, Y.X. ",2008,Variation of carbon storage by different reforestation types in the hilly red soil region of southern China. ,Forest Ecology and Management,255,3-4,1113-1121,
11,"Zhang, Q.Z., Wang, C.K., Wang, X.C. & Quan, X.K.",2009,Carbon concentration variability of 10 Chinese temperate tree species.,Forest Ecology and Management,258,5,722-727,
12,"Jacobs, D.F., Selig, M.F. & Severeid, L.R. ",2009,Aboveground carbon biomass of plantation-grown American chestnut (Castanea dentata) in absence of blight.,Forest Ecology and Management,258,3,288-294,
13,"van Geffen, K. G., L. Poorter, U. Sass-Klaasssen, R. S. P. van Logtestijn, & H. C. Cornelissen",2010,The trait contribution to wood decomposition rates of 15 Neotropical tree species. ,Ecology,91,12,3686-3697,
14,"Rana, R., Langenfeld-Heyser, R., Finkeldey, R. & Polle, A.",2010,"FTIR spectroscopy, chemical & histochemical characterisation of wood & lignin of five tropical timber wood species of the family of Dipterocarpaceae",Wood Science and Technology,44,2,225-242,
15,"Peri, P.L., Gargaglione, V., Pastur, G.M. & Lencinas, M.V. ",2010,Carbon accumulation along a st& development sequence of Nothofagus antarctica forests across a gradient in site quality in Southern Patagonia.,Forest Ecology and Management,260,2,229-237,
16,"Martin, A. & Thomas, S.C.",2011,A reassessment of carbon content in tropical trees,PLoS ONE,6,8,e23533,
17,"Arias, D., Calvo-Alvarado, J., Richter, D.D. & Dohrenbusch, A.",2011,"Productivity, aboveground biomass, nutrient uptake & carbon content in fast-growing tree plantations of native & introduced species in the Southern Region of Costa Rica",Biomass and Bioenergy,35,5,1779-1788,Site name mentioned but coordinates not given
18,"Li, X., Yi, M.J., Son, Y., Park, P.S., Lee, K.H., Son, Y.M., Kim, R.H. & Jeong, M.J. ",2011,Biomass & Carbon Storage in an Age-Sequence of Korean Pine (Pinus koraiensis) Plantation Forests in Central Korea,Journal of Plant Biology,54,1,33-42,
19,"Jones, D.A. & O'Hara, K.L.",2012,Carbon density in managed coast redwood st&s: implications for forest carbon estimation.,Forestry,85,1,99-110,
20,"Castan_o-Santamaría, J. & Bravo, F. o",2012,Variation in carbon concentration & basic density along stems of sessile oak (Quercus petraea (Matt.) Liebl.) & Pyrenean oak (Quercus pyrenaica Willd.) in the Cantabrian Range (NW Spain).,Annals of Forest Science,69,6,663-672,
21,"Becker, G.S., Braun, D., Gliniars, R. & Dalitz, H.",2012,Relations between wood variables & how they relate to tree size variables of tropical African tree species.,Trees-Structure and Function,26,4,1101-1112,
22,"Telmo C, Lousada J, & Moreira, N.",2010,"Proximate analysis, backwards stepwise regression between gross calorific value, ultimate & chemical analysis of wood.",Bioresource Technology,101,11,3808-3815,
23,"de Aza, C.H., Turrion, M.B., P&o, V. & Bravo, F.",2011,"Carbon in heartwood, sapwood & bark along the stem profile in three Mediterranean Pinus species",Annals of Forest Science,68,6,1067-1076,
24,"Correia, A.C., Tome, M., Pacheco, C.A., Faias, S., Dias, A.C., Freire, J., Carvalho, P.O. & Pereira, J.S.",2010,Biomass allometry & carbon factors for a Mediterranean pine (Pinus pinea L.) in Portugal,Forest Systems,19,3,418-433,
25,"Huet, S., Forgeard, F. & Nys, C.",2004,Above- & belowground distribution of dry matter & carbon biomass of Atlantic beech (Fagus sylvatica L.) in a time sequence.,Annals of Forest Science,61,7,683-694,
26,"Zabek, L.M. & Prescott, C.E.",2006,Biomass equations & carbon content of aboveground leafless biomass of hybrid poplar in Coastal British Columbia.,Forest Ecology and Management,223,1-3,291-302,
27,"Kort, J. & Turnock, R.",1998,Carbon reservoir & biomass in Canadian prairie shelterbelts.,Agroforestry Systems,44,2-3,175-186,
28,"Tolunay, D.",2009,"Carbon concentrations of tree components, forest floor & understorey in young Pinus sylvestris st&s in north-western Turkey.", Scandinavian Journal of Forest Research,24,5,394-402,
29,Joosten R. & Schulte A.,2002,Possible effects of altered growth behaviour of Norway spruce (Picea abies) on carbon accounting. ,Climatic Change,55,1-2,115-129,
30,"Xing Z.S., Bourque C.P.A., Swift D.E., Clowater C.W., Krasowski M. & Meng F.R. ",2005,Carbon & biomass partitioning in balsam fir (Abies balsamea). ,Tree Physiology,25,9,1207-1217,
31,"Joosten R., Schumacher J., Wirth C. & Schulte A. ",2004,Evaluating tree carbon predictions for beech (Fagus sylvatica L.) in western Germany.,Forest Ecology and Management,189,1-3,87-96,
32,"Martin, A.; Gezahegn, S. & Thomas, S.",2015,Variation in carbon & nitrogen concentration among major woody tissue types in temperate trees,Canadian Journal of Forest Research,45,6,744-757,
33,"Martin, A. & Thomas, S.C.",2013,Size-dependent changes in leaf & wood chemical traits in two Caribbean rainforest trees,Tree Physiology,33,12,1338-1353,
34,"Morhart, C.; Sheppard, J.; Schuler, J.; Spiecker, H.",2016,Above-ground woody biomass allocation & within tree carbon & nutrient distribution of wild cherry (Prunus avium L.) - a case study,Forest Ecosystems,3,4,NA,
