unique.id,reference.number,year,division,family.publication,genus.publication,binomial.publication,family.resolved,genus.resolved,binomial.resolved,growth.form,tissue,position,dead.alive,decay.class,cwd.diameter,cwd.length,tissue.c,variation.tissue.c,volatile.c,variation.volatile.c,drying.method,drying.temperature.avg,drying.duration.hrs,analytical.instrument,sample.handling,biome,biome.whittaker,region,country,latitude,longitude,latitude.r,longitude.r,mat.pub,map.pub,elev,bio.MAT,bio.MDR,bio.isothermality,bio.temp_seasonality,bio.maxtemp,bio.mintemp,bio.temp_annual_range,bio.mean_temp_wettest_quarter,bio.mean_temp_driest_quarter,bio.mean_temp_warmest_quarter,bio.mean_temp_coldest_quarter,bio.MAP,bio.prec_wettest_month,bio.prec_driest_month,bio.prec_seasonality,bio.prec_wettest_quarter,bio.prec_driest_quarter,bio.prec_warmest_quarter,bio.prec_coldest_quarter,temp.Jan,temp.Feb,temp.Mar,temp.Apr,temp.May,temp.Jun,temp.Jul,temp.Aug,temp.Sep,temp.Oct,temp.Nov,temp.Dec,prec.Jan,prec.Feb,prec.Mar,prec.Apr,prec.May,prec.Jun,prec.Jul,prec.Aug,prec.Sep,prec.Oct,prec.Nov,prec.Dec,compilation,notes
1,1,1997,angiosperm,Betulaceae,Betula,Betula_pubescens,Betulaceae,Betula,Betula_pubescens,tree,bark,standing,alive,live,NA,NA,55.7,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
2,1,1997,angiosperm,Betulaceae,Betula,Betula_pubescens,Betulaceae,Betula,Betula_pubescens,tree,branch,standing,alive,live,NA,NA,52.3,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
3,1,1997,angiosperm,Betulaceae,Betula,Betula_pubescens,Betulaceae,Betula,Betula_pubescens,tree,stem,standing,alive,live,NA,NA,49.7,0.2,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,error is SD
4,1,1997,gymnosperm,Pinaceae,Picea,Picea_abies,Pinaceae,Picea,Picea_abies,tree,bark,standing,alive,live,NA,NA,51.8,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
5,1,1997,gymnosperm,Pinaceae,Picea,Picea_abies,Pinaceae,Picea,Picea_abies,tree,branch,standing,alive,live,NA,NA,52.6,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
6,1,1997,gymnosperm,Pinaceae,Picea,Picea_abies,Pinaceae,Picea,Picea_abies,tree,stem,standing,alive,live,NA,NA,50.9,0.2,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,error is SD
7,1,1997,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,bark,standing,alive,live,NA,NA,53.2,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
8,1,1997,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,branch,standing,alive,live,NA,NA,53.1,NA,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,NA
9,1,1997,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,stem,standing,alive,live,NA,NA,51.8,0.9,NA,NA,conventional_drying,105,NA,elemental_analyzer_Leco_CHN_600,discs,boreal,NA,Europe,Finland,61.58333333 N - 61.86666667 N,24.08333333 E - 24.41666667 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas and Martin 2012 Forests,error is SD
10,2,1999,gymnosperm,Pinaceae,Pinus,Pinus_sylvestris,Pinaceae,Pinus,Pinus_sylvestris,tree,branch,standing,alive,live,NA,NA,51.6,NA,NA,NA,conventional_drying,80,24,NA,NA,temperate,Woodland/shrubland,Europe,Belgium,51.30916667¡ N,4.52055556¡ E,51.30916667,4.52055556,9.8,767,20,10.35416698,7.741666794,33.95467758,560.9790649,23.20000076,0.400000006,22.80000114,7.233333111,6.266666889,17.35000038,3.683333397,809,78,51,14.21836758,229,168,210,194,3.299999952,3.400000095,6.400000095,9,13.5,16,18,18,14.80000019,10.89999962,6.5,4.300000191,67,51,65,52,60,76,74,60,75,75,78,76,Thomas and Martin 2012 Forests,NA
